City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
451,Kavaratti,IN,85.35,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
453,Nova Olinda Do Norte,BR,83.48,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
460,Oranjestad,AW,79.47,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
467,Baghdad,IQ,84.11,dust,33.3406,44.4009,Baghdad Hotel
469,Kloulklubed,PW,81.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
473,Yanam,IN,80.04,few clouds,16.7333,82.2167,The Regency Hotel
474,Tamiahua,MX,83.28,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
476,Hambantota,LK,83.03,few clouds,6.1241,81.1185,Bungalow 63
478,Najran,SA,83.07,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
479,Dingle,PH,78.33,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
480,Nosy Varika,MG,75.97,light rain,-20.5833,48.5333,Hotel Volazara
481,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
482,Nuevo Progreso,MX,80.47,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
484,Jalu,LY,91.11,overcast clouds,29.0331,21.5482,صاحبة الفخامة
485,Nicoya,CR,90.37,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
486,El Estor,GT,81.55,broken clouds,15.5333,-89.35,Chalet Castillo
488,Riyadh,SA,87.94,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
490,Balabac,PH,76.19,light rain,7.9868,117.0645,Batalla’s Lodging House
491,Sarangani,PH,80.38,overcast clouds,5.4033,125.4636,Ballistic Islet
495,Saraland,US,77.05,scattered clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
501,Caruray,PH,79.12,moderate rain,10.3094,119.0128,
502,Aitape,PG,78.73,scattered clouds,-3.1374,142.3475,
505,Barentu,ER,91.63,clear sky,15.1139,37.5928,
507,Mitsamiouli,KM,81.84,overcast clouds,-11.3847,43.2844,Foyer ADM
511,Capinopolis,BR,88.12,clear sky,-18.6819,-49.5697,Tropical Hotel
513,Macae,BR,83.71,clear sky,-22.3708,-41.7869,Golden Tulip Macaé
515,Mahibadhoo,MV,84.31,scattered clouds,3.7833,72.9667,Omadhoo Inn
517,Kaohsiung,TW,83.03,clear sky,22.6163,120.3133,御宿商旅-中山館
519,Manokwari,ID,78.8,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
521,Adre,TD,87.85,overcast clouds,13.4667,22.2,
523,Vidalia,US,76.78,clear sky,32.2177,-82.4135,Quality Inn & Suites
526,Florianopolis,BR,82.35,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
528,Maragogipe,BR,84.42,scattered clouds,-12.7778,-38.9194,Hotel Maragogipe
532,Hindupur,IN,88.77,scattered clouds,13.8289,77.4933,Om Shiridi Sai Deluxe Bedding Centre
538,Kalmunai,LK,82.67,clear sky,7.4167,81.8167,VS Villa
542,Tefe,BR,91.51,few clouds,-3.3542,-64.7114,Aracati Hotel
543,Alofi,NU,77.43,light rain,-19.0595,-169.9187,Taloa Heights
544,Dakar,SN,86.88,clear sky,14.6937,-17.4441,Novotel Dakar
545,Saint-Georges,GD,78.94,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
547,Ambilobe,MG,75.38,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
554,Lazaro Cardenas,MX,87.35,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
556,Tual,ID,84.63,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
558,San Pedro,PH,83.43,scattered clouds,14.35,121.0167,Esquivel's Garden And Resort
563,Dalbandin,PK,89.22,overcast clouds,28.8947,64.4101,Sanjrani House
564,Birao,CF,91.89,broken clouds,10.2849,22.7882,
565,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
571,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
575,Envira,BR,88.9,overcast clouds,-7.3,-70.2167,
578,Wajid,SO,78.28,light rain,3.8093,43.2471,xamdihotelresturant114
580,Ambikapur,IN,82.08,clear sky,23.1167,83.2,Hotel Birendra Prabha
581,Sur,OM,89.91,clear sky,22.5667,59.5289,Sur Plaza Hotel
586,Puerto Baquerizo Moreno,EC,77.99,few clouds,-0.9,-89.6,Hotel los Algarrobos
587,Majene,ID,77.83,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
588,Zhuhai,CN,83.86,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
590,Luganville,VU,77.14,moderate rain,-15.5333,167.1667,The Espiritu Hotel
591,Rafai,CF,75.06,light rain,4.95,23.9167,
592,Lere,NG,89.42,overcast clouds,10.387,8.5726,
593,Tecolutla,MX,82.26,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
597,Matara,LK,81.12,few clouds,5.9485,80.5353,Amaloh Boutique Resort
598,Pimenta Bueno,BR,89.06,clear sky,-11.6725,-61.1936,Cristalina Palace Hotel
601,Atar,MR,91.65,clear sky,20.5169,-13.0499,Oumou Elghoura
604,Chorozinho,BR,84.4,overcast clouds,-4.3003,-38.4978,Churrascaria e Pousada Pantanal
608,Santa Isabel Do Rio Negro,BR,93.45,broken clouds,-0.4139,-65.0192,Hotel GSA
609,Capitao Poco,BR,83.01,broken clouds,-1.7464,-47.0594,Hotel New Tokyo
615,Bosaso,SO,83.39,clear sky,11.2842,49.1816,Red Sea Hotel
617,Nagaur,IN,93.52,clear sky,27.2,73.7333,Ranvas Nagaur
619,Morros,BR,87.66,clear sky,-9.4467,-46.3003,
624,Makurdi,NG,86.23,overcast clouds,7.7411,8.5121,Doo Palace Hotel
625,Beboto,TD,88.29,overcast clouds,8.2668,16.939,
630,Sola,VU,80.56,overcast clouds,-13.8833,167.55,Leumerus Bungalows
631,Sinnamary,GF,82.89,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
632,Mizdah,LY,75.88,few clouds,31.4451,12.9801,محمدالمبروك الاريقط
633,Salina Cruz,MX,90.54,few clouds,16.1667,-95.2,Amerik HOTEL
634,Porto Novo,BJ,83.66,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
637,Bikramganj,IN,90.72,clear sky,25.2,84.25,Hotel Jairam
638,Bandarbeyla,SO,83.21,broken clouds,9.4942,50.8122,JABIR HOTEL
640,Iralaya,HN,84.2,broken clouds,15.0,-83.2333,Iglesia morava renovada
642,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
643,Jeremie,HT,79.38,scattered clouds,18.65,-74.1167,Auberge’Inn
644,Pathein,MM,81.45,clear sky,16.7833,94.7333,Pathein Hotel
646,Kilifi,KE,80.53,broken clouds,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
648,Charagua,BO,92.77,overcast clouds,-19.8,-63.2167,Hotel
652,Kinablangan,PH,76.42,light rain,7.6947,126.5503,Morales Eatery and Lodging House
659,Ugoofaaru,MV,85.14,scattered clouds,5.6667,73.0,Ungoofaaru Inn
665,Dezful,IR,83.55,few clouds,32.3811,48.4058,مهمانپذیر خوزستان
667,Mineiros,BR,83.34,clear sky,-17.5694,-52.5511,Pilões Palace Hotel
668,Jacmel,HT,82.53,few clouds,18.2342,-72.5347,Historic Hotel Florita
671,Tessalit,ML,90.81,clear sky,20.1986,1.0114,
673,Cozumel,MX,84.94,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
674,Rio Brilhante,BR,93.97,overcast clouds,-21.8019,-54.5464,Hotel Cattani
675,Diego De Almagro,CL,75.9,clear sky,-26.3667,-70.05,hotel luna del desierto
683,Sao Paulo De Olivenca,BR,91.02,overcast clouds,-3.3783,-68.8725,
