City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
189,Comitancillo,GT,15.0833,-91.7167,72.39,52,27,1.81,scattered clouds,2022-04-27 16:56:38
190,Almazar,UZ,40.3217,69.0106,69.53,51,26,12.86,scattered clouds,2022-04-27 16:56:39
191,Dobson,US,36.3957,-80.7226,67.55,31,0,11.5,clear sky,2022-04-27 16:56:39
192,Nyurba,RU,63.2842,118.3319,16.34,96,47,2.24,scattered clouds,2022-04-27 16:56:39
193,Sobolevo,RU,54.4299,31.8996,42.8,73,73,5.64,broken clouds,2022-04-27 16:56:40
194,Darnah,LY,32.767,22.6367,65.16,63,17,3.49,few clouds,2022-04-27 16:56:40
195,Uvira,CD,-3.4067,29.1458,77.13,83,100,6.49,light rain,2022-04-27 16:56:41
196,Chimoio,MZ,-19.1164,33.4833,62.91,75,50,5.41,scattered clouds,2022-04-27 16:56:41
197,Santa Rosa,PH,14.3122,121.1114,84.18,75,97,9.28,overcast clouds,2022-04-27 16:56:41
198,Milyutinskaya,RU,48.6279,41.6679,67.26,58,64,10.87,broken clouds,2022-04-27 16:56:42
199,Longyearbyen,SJ,78.2186,15.6401,4.84,61,75,11.5,broken clouds,2022-04-27 16:55:04
200,Abha,SA,18.2164,42.5053,66.45,60,40,12.66,light rain,2022-04-27 16:56:42
201,Port Elizabeth,ZA,-33.918,25.5701,65.1,85,0,10.36,clear sky,2022-04-27 16:56:42
202,Cabo San Lucas,MX,22.8909,-109.9124,85.6,43,0,4.0,clear sky,2022-04-27 16:56:43
203,Linxia,CN,35.6003,103.2064,43.68,66,92,0.67,overcast clouds,2022-04-27 16:56:43
204,Leningradskiy,RU,69.3833,178.4167,17.31,90,100,9.6,overcast clouds,2022-04-27 16:56:43
205,Upernavik,GL,72.7868,-56.1549,34.84,74,100,6.69,overcast clouds,2022-04-27 16:56:44
206,Atasu,KZ,48.6814,71.6433,56.53,39,5,5.55,clear sky,2022-04-27 16:56:44
207,Denpasar,ID,-8.65,115.2167,82.06,83,20,4.61,few clouds,2022-04-27 16:54:10
208,Sao Sebastiao,BR,-23.76,-45.4097,83.61,63,0,4.47,clear sky,2022-04-27 16:56:45
209,Obo,CF,5.3998,26.4869,79.21,60,98,4.79,overcast clouds,2022-04-27 16:56:45
210,Zhigansk,RU,66.7697,123.3711,5.88,98,20,9.1,few clouds,2022-04-27 16:56:45
211,Cidreira,BR,-30.1811,-50.2056,84.97,57,0,6.82,clear sky,2022-04-27 16:56:46
212,Guerrero Negro,MX,27.9769,-114.0611,67.53,59,1,12.86,clear sky,2022-04-27 16:56:46
213,Klaksvik,FO,62.2266,-6.589,47.32,73,99,11.68,overcast clouds,2022-04-27 16:56:46
214,Ilulissat,GL,69.2167,-51.1,37.45,88,100,8.68,overcast clouds,2022-04-27 16:56:47
215,Ixtapa,MX,20.7,-105.2,91.35,31,0,6.58,clear sky,2022-04-27 16:55:23
216,Aranos,NA,-24.1333,19.1167,77.54,23,58,12.82,broken clouds,2022-04-27 16:56:47
217,San Matias,BO,-16.3667,-58.4,95.81,31,25,12.01,scattered clouds,2022-04-27 16:56:47
218,Bethel,US,41.3712,-73.414,54.46,66,89,3.0,overcast clouds,2022-04-27 16:54:28
219,Alassio,IT,44.0039,8.1671,69.17,69,22,1.99,few clouds,2022-04-27 16:56:48
220,Butaritari,KI,3.0707,172.7902,81.3,81,13,17.85,light rain,2022-04-27 16:56:48
221,Tasiilaq,GL,65.6145,-37.6368,33.75,77,100,5.3,overcast clouds,2022-04-27 16:56:49
222,Tome,CL,-36.6167,-72.95,48.81,88,100,11.39,overcast clouds,2022-04-27 16:56:49
223,Tonj,SS,7.2737,28.6822,91.49,29,100,3.4,overcast clouds,2022-04-27 16:56:49
224,Mar Del Plata,AR,-38.0023,-57.5575,62.87,60,0,13.8,clear sky,2022-04-27 16:56:50
225,Pio Xii,BR,-3.8325,-45.1525,84.79,73,63,3.31,broken clouds,2022-04-27 16:56:50
226,Husavik,IS,66.0449,-17.3389,41.04,74,99,2.15,overcast clouds,2022-04-27 16:56:51
227,Baraboo,US,43.4711,-89.7443,39.58,55,40,5.75,scattered clouds,2022-04-27 16:56:51
228,Isangel,VU,-19.55,169.2667,76.89,69,99,14.25,overcast clouds,2022-04-27 16:56:52
229,La Palma,US,33.8464,-118.0467,69.22,68,13,4.0,few clouds,2022-04-27 16:56:52
230,Tahta,EG,26.7693,31.5021,90.54,8,0,13.69,clear sky,2022-04-27 16:56:53
231,Nalut,LY,30.3333,10.85,89.82,10,2,5.77,clear sky,2022-04-27 16:57:53
232,Vila Velha,BR,-20.3297,-40.2925,85.95,60,40,12.66,scattered clouds,2022-04-27 16:57:53
233,Champerico,GT,14.3,-91.9167,90.14,63,3,6.91,clear sky,2022-04-27 16:57:54
234,Iraray,PH,8.9936,118.0511,77.45,91,100,0.6,heavy intensity rain,2022-04-27 16:57:55
235,Loa Janan,ID,-0.583,117.095,74.21,97,100,1.63,overcast clouds,2022-04-27 16:57:55
236,Vao,NC,-22.6667,167.4833,74.59,68,100,20.74,overcast clouds,2022-04-27 16:57:55
237,Heihe,CN,50.2441,127.4902,32.58,45,16,8.41,few clouds,2022-04-27 16:57:56
238,Saint George,US,37.1041,-113.5841,76.62,13,22,1.99,few clouds,2022-04-27 16:55:24
239,Peterhead,GB,57.5058,-1.7981,51.46,66,40,8.16,scattered clouds,2022-04-27 16:57:56
